$Date,$Time,TEMPERATURA,SETPOINT,SALIDACONTROL,CAUDAL_FILTRADO,CAUDAL
03/13/17,18:58:31,29.14,35,20,654.5507,657
03/13/17,18:58:32,29.14,35,20,654.5984,653
03/13/17,18:58:33,29.22,35,20,654.7697,652
03/13/17,18:58:34,29.13,35,20,654.6786,662
03/13/17,18:58:35,29.12,35,20,654.8597,654
03/13/17,18:58:36,29.12,35,20,655.3191,662
03/13/17,18:58:37,29.18,35,20,655.9053,653
03/13/17,18:58:38,29.14,35,20,656.0178,661
03/13/17,18:58:39,29.14,35,20,655.5146,657
03/13/17,18:58:40,29.14,35,20,654.6073,652
03/13/17,18:58:41,29.12,35,20,654.5789,661
03/13/17,18:58:42,29.06,35,20,654.473,652
03/13/17,18:58:43,29.09,35,20,654.2724,662
03/13/17,18:58:44,29.07,35,20,654.9059,652
03/13/17,18:58:45,29.08,35,20,655.1853,657
03/13/17,18:58:46,29.06,35,20,655.2872,656
03/13/17,18:58:47,29.09,35,20,655.7016,654
03/13/17,18:58:48,29.08,35,20,655.3138,663
03/13/17,18:58:49,29.16,35,20,656.2536,657
03/13/17,18:58:50,29.07,35,20,657.2242,662
03/13/17,18:58:51,29.07,35,20,656.8643,650
03/13/17,18:58:52,29.09,35,20,655.9894,653
03/13/17,18:58:53,29.09,35,20,655.5873,660
03/13/17,18:58:54,29.1,35,20,654.9507,657
03/13/17,18:58:55,29.09,35,20,652.9387,644
03/13/17,18:58:56,29.09,35,20,651.7646,654
03/13/17,18:58:57,29.09,35,20,651.3751,652
03/13/17,18:58:58,29.09,35,20,651.3196,655
03/13/17,18:58:59,29.09,35,20,652.7389,672
03/13/17,18:59:00,29.09,35,20,654.3685,655
03/13/17,18:59:01,29.1,35,20,653.1785,649
03/13/17,18:59:02,29.09,35,20,651.4459,644
03/13/17,18:59:03,29.09,35,20,651.933,660
03/13/17,18:59:04,29.09,35,20,652.0835,654
03/13/17,18:59:05,29.1,35,20,651.6874,650
03/13/17,18:59:06,29.1,35,20,652.1071,659
03/13/17,18:59:07,29.09,35,20,651.6991,644
03/13/17,18:59:08,29.09,35,20,652.8424,662
03/13/17,18:59:09,29.09,35,20,654.4148,660
03/13/17,18:59:10,29.1,35,20,655.3395,657
03/13/17,18:59:11,29.09,35,20,656.6024,672
03/13/17,18:59:12,29.08,35,20,657.9296,654
03/13/17,18:59:13,29.08,35,20,657.46,657
03/13/17,18:59:14,29.08,35,20,657.3984,646
03/13/17,18:59:15,29.08,35,20,656.1443,647
03/13/17,18:59:16,29.08,35,20,655.442,645
03/13/17,18:59:17,29.09,35,20,654.7161,642
03/13/17,18:59:18,29.08,35,20,654.3823,656
03/13/17,18:59:19,29.08,35,20,655.5342,656
03/13/17,18:59:20,29.1,35,20,656.9725,669
03/13/17,18:59:21,29.09,35,20,659.0382,655
03/13/17,18:59:22,29.1,35,20,659.389,659
03/13/17,18:59:23,29.08,35,20,660.4351,668
03/13/17,18:59:24,29.11,35,20,661.7615,659
03/13/17,18:59:25,29.09,35,20,661.7623,667
03/13/17,18:59:26,29.13,35,20,662.2805,655
03/13/17,18:59:27,29.13,35,20,662.6061,668
03/13/17,18:59:28,29.13,35,20,662.0706,651
03/13/17,18:59:29,29.14,35,20,660.5959,658
03/13/17,18:59:30,29.14,35,20,660.2397,666
03/13/17,18:59:31,29.15,35,20,660.091,653
03/13/17,18:59:32,29.16,35,20,659.0385,654
03/13/17,18:59:33,29.16,35,20,658.1854,653
03/13/17,18:59:34,29.16,35,20,657.6992,658
03/13/17,18:59:35,29.15,35,20,658.4482,668
03/13/17,18:59:36,29.15,35,20,658.8979,656
03/13/17,18:59:37,29.24,35,20,658.8043,662
03/13/17,18:59:38,29.16,35,20,658.2682,647
